School,Suburb,Longitude,Latitude
Falls Road Primary School,Lesmurdie,116.04701850000001,-31.99216242
Fitzroy Valley District High School,Fitzroy Crossing,125.566842,-18.196468
Flinders Park Primary School,Albany,117.9300686,-34.97824017
Floreat Park Primary School,Floreat,115.79122,-31.936844
Forest Crescent Primary School,Thornlie,115.95000700000001,-32.07607019
Forrestdale Primary School,Forrestdale,115.94853619999999,-32.15362108
Forrestfield Primary School,Forrestfield,116.0088324,-31.99141866
Foundation Christian College,Greenfields,115.76228880000001,-32.52931617
Fountain College,Ferndale,115.92001090000002,-32.03648539
Francis Jordan Catholic School,Currambine,115.73842649999999,-31.73113849
Frankland River Primary School,Frankland River,117.078601,-34.36312
Frederick Irwin Anglican School,Mandurah,115.75308020000001,-32.50869435
Fremantle Christian College,Hamilton Hill,115.77519840000002,-32.084365399999996
Fremantle College,Beaconsfield,115.76798000000001,-32.06791
Fremantle Language Development Centre,Willagee,115.80434609999999,-32.05149344
Fremantle Primary School,Fremantle,115.75353529999998,-32.05883702
Freshwater Bay Primary School,Claremont,115.78230970000001,-31.98588984
Gairdner Primary School,Gairdner,118.93858490000001,-34.2108414
Gascoyne Junction Remote Community School,Gascoyne Junction,115.2083775,-25.05320773
Geographe Education Support Centre,Busselton,115.32883390000002,-33.66661113
Geographe Primary School,Busselton,115.32883390000002,-33.66661113
Georgiana Molloy Anglican School,Busselton,115.3815495,-33.6606425
Geraldton Flexible Learning Centre,Geraldton,114.6188153,-28.76770179
Geraldton Grammar School,Geraldton,114.621025,-28.76195313
Geraldton Primary School,Geraldton,114.60805559999999,-28.77863662
Geraldton Senior High School,Geraldton,114.61170919999999,-28.78068474
Gibbs Street Primary School,East Cannington,115.95375209999999,-32.00835874
Gidgegannup Primary School,Gidgegannup,116.19540719999999,-31.79416905
Gilmore College,Orelia,115.814803,-32.238265999999996
Gingin District High School,Gingin,115.91236869999999,-31.34427642
Girrawheen Senior High School,Girrawheen,115.8418703,-31.83648977
Gladys Newton School,Balga,115.84735800000001,-31.85488957
Glen Forrest Community Kindergarten,Glen Forrest,116.1023159,-31.90683334
Glen Forrest Primary School,Glen Forrest,116.100319,-31.91537475
Glen Huon Primary School,Eaton,115.72615479999999,-33.31523808
Glencoe Primary School,Halls Head,115.70414040000001,-32.54229018
Glendale Primary School,Hamersley,115.8076235,-31.84933302
Glengarry Primary School,Duncraig,115.78205520000002,-31.82816781
Gnowangerup District High School,Gnowangerup,118.00801000000001,-33.938232
Golden Bay Primary School,Golden Bay,115.7596842,-32.42313769
Golden Hill Steiner School,Denmark,117.3591392,-34.94203668
Goldfields Baptist College,Kalgoorlie,121.4630845,-30.77620533
Good Shepherd Catholic Primary School,Kelmscott,116.0262673,-32.12560377
Good Shepherd Catholic School,Lockridge,115.9432801,-31.88645235
Goollelal Primary School,Kingsley,115.80138529999999,-31.81486804
Goomalling Primary School,Goomalling,116.82890890000002,-31.30541151
Gooseberry Hill Primary School,Gooseberry Hill,116.05601999999999,-31.95646856
Gosnells Primary School,Gosnells,116.00352240000002,-32.07774624
Governor Stirling Senior High School,Woodbridge,115.98880559999999,-31.88893826
Grace Christian School,Bunbury,115.68107590000001,-33.33832794
Grandis Primary School,Banksia Grove,115.80774699999999,-31.693914000000003
Great Southern Grammar,Lower Kalgan,117.9707332,-34.94755539
Greenbushes Primary School,Greenbushes,116.0594122,-33.85097107
Greenfields Primary School,Greenfields,115.7509389,-32.53397367
Greenmount Primary School,Greenmount,116.04743359999999,-31.89659298
Greenwood College,Greenwood,115.7914439,-31.82628484
Greenwood Primary School,Greenwood,115.80902009999998,-31.82890115
Grovelands Primary School,Camillo,115.9990409,-32.12023725
Guildford Grammar School,Guildford,115.98189199999999,-31.894036
Guildford Primary School,Guildford,115.9678061,-31.90233645
Gwynne Park Education Support Centre,Armadale,115.999196,-32.1618132
Gwynne Park Primary School,Armadale,115.999196,-32.1618132
Hale School,Wembley Downs,115.7837828,-31.91232249
Halidon Primary School,Kingsley,115.801427,-31.80783809
Halls Creek District High School,Halls Creek,127.66935600000001,-18.22567554
Halls Head College,Halls Head,115.69424040000001,-32.55444963
Halls Head College Education Support Centre,Halls Head,115.69424040000001,-32.55444963
Halls Head Primary School,Halls Head,115.6949747,-32.55019839
Hammond Park Catholic Primary School,Hammond Park,115.84873459999999,-32.17296139
Hammond Park Primary School,Hammond Park,115.8435325,-32.16737931
Hammond Park Secondary College,Hammond Park,115.850504,-32.172219
Hampton Park Primary School,Morley,115.916552,-31.886678999999997
Hampton Senior High School,Morley,115.92693,-31.89085713
Hannans Primary School,Kalgoorlie,121.45185829999998,-30.72499605
Harmony Primary School,Atwell,115.8645645,-32.15122168
Harrisdale Primary School,Harrisdale,115.9379534,-32.12523245
Harrisdale Senior High School,Harrisdale,115.93452099999999,-32.127736
Harvey Primary School,Harvey,115.895078,-33.078014
Harvey Senior High School,Harvey,115.90796270000001,-33.08407299
Havenport Msl College,Cockburn Central,115.84047,-32.121531
Hawker Park Primary School,Warwick,115.79749270000002,-31.84054196
Hazel Orme Community Kindergarten,White Gum Valley,115.76985619999999,-32.06190042
Heathridge Primary School,Heathridge,115.7606344,-31.76034748
Hedland Senior High School,South Hedland,118.59861599999999,-20.39878872
Helena College,Glen Forrest,116.09143999999999,-31.90747
Helena River Steiner School,Midland,116.001644,-31.886829
Helena Valley Primary School,Helena Valley,116.0486524,-31.92484077
Hensman Street Elementary,South Perth,115.8628084,-31.98447619
Heritage College Perth,Forrestfield,116.01964479999998,-31.98220269
Herne Hill Primary School,Herne Hill,116.02371740000001,-31.82980018
High Wycombe Primary School,High Wycombe,116.00213219999999,-31.94106632
Highgate Primary School,Highgate,115.86625090000001,-31.94074584
Hillarys Community Kindergarten,Hillarys,115.73645069999999,-31.80813401
Hillarys Primary School,Hillarys,115.75256409999999,-31.81329166
Hillcrest Primary School,Bayswater,115.9030701,-31.90983465
Hillman Primary School,Hillman,115.762409,-32.28293177
Hillside Christian College,Forrestfield,116.0173602,-31.97978892
Hilton Primary School,Hilton,115.7841355,-32.06805492
Hocking Primary School,Hocking,115.81687759999998,-31.76973684
Holland Street School,Geraldton,114.6084389,-28.77996577
Hollywood Primary School,Nedlands,115.8072695,-31.96944536
Holy Cross College,Ellenbrook,115.973832,-31.773096999999996
Holy Rosary School,Derby,123.63377520000002,-17.3050183
Holy Rosary School,Doubleview,115.78749979999999,-31.90928598
Holy Spirit School,City Beach,115.76524029999999,-31.91694399
Honeywood Primary School,Wandi,115.86158999999999,-32.1965
Hope Christian College,Roelands,115.8278834,-33.29288692
Hopetoun Primary School,Hopetoun,120.12889750000001,-33.94505538
Hudson Park Primary School,Girrawheen,115.83732909999999,-31.83944795
Huntingdale Primary School,Huntingdale,115.97170109999999,-32.07763465
Hyden Primary School,Hyden,118.861951,-32.44862907
Illawarra Primary School,Ballajura,115.88175759999999,-31.8289464
Immaculate Heart College,Lower Chittering,116.07834950000002,-31.56032856
Indie School Western Australia,Midland,116.00344,-31.893179999999997
